雍容华贵麒麟2937,2024-06-10,五菱星光 2024款 共创版·插混 1.5L 150km 领航型,5.00,10.2,3.9L/100km,2024-05,5月，终于喜提爱车啦！从星光23款一直等到24款，在5月上市，成为第一批车主，24款插混150领航型，没试车就直接下定啦！ 果然物超所值，满足了我对车车的所有需求！ 非常满意有以下几点： 1⃣️插混没有续航焦虑 2⃣️后排、后备箱空间超大，乘坐体验感很舒适 3⃣️油耗很低，很省钱 4⃣️外观大气，溜背造型很耐看 5⃣️中控屏很大，视觉效果很好👍 对我来说最实用的❤️一个功能就是车道保持，因为技术问题，经常会压线的，一压线方向盘会震动提醒，真的太赞了！ 还有360，现在倒车入库，侧方停车都贼厉害！！ 10万级别的车，拥有这么多功能真的很值了
一日千里海棠2877,2024-06-07,五菱星光 2024款 共创版·插混 1.5L 150km 领航型,4.43,10.2,,2024-05,外观拥有流畅的车身线条和时尚的前脸设计，后部的大溜背设计超级引人注目，给人整体印象就是高端大气。车身侧面线条柔和而充满动感，尾部设计很有科技感；车辆空间很大，不管是前排还是后排都很宽裕，乘坐舒适度很高。后备箱空间超宽敞，日常存储完全够用；动力性能1.5L发动机对于日常驾驶是足够的，但是在高速行驶的时候，发动机和胎噪声音很大，有点影响驾驶体验；车机挺流畅但是不太智能，就是很基础的功能，我购买的领航版有智能驾驶辅助系统，但我没咋用过，不太会用，说是有自动驻车我也不知道怎么开，有无智能驾驶价格相差不大，有需要的话可以安排上；座椅很舒服，本来还买了座椅套的，但原
巧1797,2024-05-29,五菱星光 2024款 共创版·纯电 510km 进阶版,5.00,,,,五菱星光纯电是今年刚上市不久的一款车型，也是五菱唯一的一款高续航的纯电超A级轿车。有410和510续航两个配置选择。从去年底一直在观注五菱星光这款车做为人民的五菱就造什么的概念，五菱星光这款车上市在性价比真的很高，设计也时尚年轻，从星光混动上市以来他的销量很不错在我们这种3.4线城市，路上常可以看见星光的的身影。 从外观上来说我觉的五菱星光纯电颜值更上一级，当然这只代表我个人审美，毕竟审美这玩意各有所喜。这款车型新上市新增了一个红色，说实话五菱的车子很少有红色，五菱这次出的红色也给更女性用户提供了更多的选择。 配置方面很多超过了这个价位，不输B级
福特车小银,2024-05-25,五菱星光 2023款 1.5L 150km 进阶版,4.93,9.88,,2024-04,最满意 最满意 在城市的繁忙街头，星光所展现出色的油耗表现是为驾驶者带来经济实惠的驾驶体验，在现在这个满大街都是车辆的时代，五菱星光车型带给我的是外观颜值时尚大气，用车成本低，是现代年轻人的贴心代步小能手~ 最不满意 最不满意 虽然说新车的定价还是比较合理的，而且整体的品质也没有什么问题，但咨询看五菱车的好多款车型好像都没有备胎，这让我有点没有安全感。 空间  车内空间上不仅宽敞，而且充分考虑了我们驾驶员以及乘客的舒适性。座椅方面的设计算的上是比较舒适的质感，不管是前排空间的利用使得车内更为通透以致于空间感给人一个在长时间驾驶乘坐中不会感到疲劳。 驾驶感
行业翘楚小树0696,2024-05-21,五菱星光 2023款 1.5L 150km 进阶版,4.57,9.6,,2024-03,随着现在人们对于自驾旅行的热衷喜爱，选择一款适合长途自驾的汽车成为了关键。在众多车型中，五菱星光插混版以其出色的性能和舒适的驾乘体验，成为了无惧长途驾驶的绝佳选择。 首先，五菱星光混动车拥有强大而高效的动力系统。搭载的混合动力系统能够在长途驾驶过程中持续提供稳定而高效的动力输出。这款车型提供的1.5升四缸发动机和电动机的组合，既具备了足够的动力储备，又降低了燃油消耗，使得长途驾驶更加经济高效。 其次，五菱星光混动车以其出色的悬挂系统和舒适的座椅设计，为长途驾驶提供了极致的驾乘体验。优质的悬挂系统能够有效减震，并降低车辆行驶中的颠簸感，让驾驶者在漫长的路程
雷厉风行芒果0968,2024-05-15,五菱星光 2024款 共创版·插混 1.5L 150km 进阶型,5.00,,,,这款车探店试驾之后，我就觉得它的性价比是非常高的，很多人都在说订不到车之类的，说明这辆车的销量非常的火爆，配置一点都不少。外观造型还是很好看的，看起来一点都不觉得有塑料感，尤其是这款高配的它的轮毂，看起来也是设计的很精细，比低配版本的轮毂更好看。 这个车特点就是空间大，2.8米的轴距B级车的空间，中排腿部空间都是都是非常大的敲个二郎腿都是完全没有问题的。驾乘空间尽显宽敞
龙猫车手00738791,2024-05-14,五菱星光 2023款 1.5L 150km 进阶版,4.43,10.98,3.98L/100km,2024-02,【购车经历】 一直在观望，准备入手一台新能源汽车，偶尔一次在***看到这一台车的推广，车身外观表现展现出高级感和运动气息。车身线条流畅，前脸采用大尺寸进气格栅，给人留下深刻印象，这也是我为什么选择它的原因。颜值空间操控都很好，就前往线下门店看车，试驾，满意就决定买一台。 【最满意】 内部空间，无论是驾驶座椅还是后排乘客座椅，都拥有充裕的头部和腿部空间，后排乘坐空间尤其充裕，适合家庭出游或载上全家人去走亲戚，很适合我们这些大家庭。 【驾驶感受】 五菱星光的方向盘手感很舒适，转向灵活且准确，悬挂系统运行平稳，过坑平顺，给人一种安全感。 【油耗情况
哮天车手00394877,2024-04-30,五菱星光 2023款 1.5L 70km 标准版,4.64,,,,被种草了五菱星光～分享一下用车体验啦～ ⭐外观设计独具一格，五环高强钢车身，线条流畅，充满力量感。车身如同精钢打造的铠甲，坚固而耐用。 驾驶在宽广的公路上，感受风儿轻轻拂过面颊，仿佛置身于自然的怀抱中。 ⭐坐进驾驶室，瞬间被舒适的内饰和精致的做工所吸引。环抱舒压座椅感受到了无与伦比的舒适度。配备了丰富的智能科技配置，如智能语音控制系统、多功能方向盘等，轻松掌握驾驶的乐趣。 前排座椅靠背可与后排坐垫齐平连成躺椅，带娃、旅游都不用担心休息问题，让你体验到“超A级空间” ⭐启动车辆，强大的动力表现，加速顺畅，在驾驶过程中感受到无尽的驾驭快感，神炼电池千
才华盖世金龙2713,2024-04-27,五菱星光 2023款 1.5L 150km 进阶版,4.86,9.98,,2024-04,最满意 空间特别大，而且前排可以放到和后排一起就能实现躺椅功能，还是我目前接触到有这种功能的第一台车，实用性很强，午休小憩啥的在车里又舒服又方便。 烧电，费用就很低，快充中午的谷峰时间也就6毛一度电，充满几块钱，但是够跑几天了。就算用油也特别剩，本身车是比较大的，但是油耗也就4个左右。 最不满意 车机系统不算很智能，每次开机启动还得设置一下驾驶模式、空调温度和风速之类的，不会按照上次关机的模式智能记忆。不知道这个问题后面通过升级系统会不会好一些。但是这种需要经常升级的又担心后期代码冗余造成系统卡顿，就像手机一样，新手机出来，没用几年的老手机就卡了。后续车
超群绝伦软桃0687,2024-04-27,五菱星光 2023款 1.5L 150km 进阶版,4.64,9.98,,2024-01,车型：五菱星光150进阶版 续航：满电100km左右，气温高些可以到110 用车小结：一月初提的车，到现在开了3个多月了，平时都是在市区及周边代步，春节期间开过几次长途，每次大概230公里左右。两个月平均百公里油耗在4.5到5之间，春节堵在国道上的时侯，最极限的开到过3.5的油耗。 因为没有家充，平时都是在外面商用桩充电，一度电0.89到1.15之间，这两个月的用车消耗大概是每公里0.4元，这个价格还是比较令人满意的。 夸完了之后，就应该指出问题了，第一点就是更新后的360影像，逻辑十分反人类，非常的不好用，更新后我刮了两次车，心疼啊，有消息说是之后会改
